id,branch,fname,lname,birthday,address,phone_nr,IBAN,TIN,email
1,1,Marco,Döhn,2000-02-01,"Jolanda-Hövel-Weg 2/8
36868 Döbeln",(03728) 55610,DE97359505391628210778,46120850432,Döhn@oos.de
2,1,Magda,Wende,1963-07-27,"Bachmannallee 29
67951 Dinkelsbühl",+49(0)4740794924,DE57006126864229524749,88712205464,Wende@oos.de
3,1,Mechtild,Finke,1982-03-16,"Kreinring 0/3
40689 Northeim",04640 643535,DE36689880345965602585,27801024798,Finke@oos.de
4,1,Gülten,Ortmann,2006-12-20,"George-Radisch-Weg 8
97200 Roding",03997 84656,DE33945874412212877289,24000617114,Ortmann@oos.de
5,1,Ingetraut,Metz,1991-08-29,"Jüttnerstraße 58
31812 Prenzlau",+49(0)3182 48984,DE37253969885889805517,84438073986,Metz@oos.de
6,1,Thilo,Segebahn,1991-01-27,"Hans-Ulrich-Bachmann-Platz 964
38927 Wolfenbüttel",(08109) 39280,DE14118674528782292181,34071837741,Segebahn@oos.de
7,1,Valeri,Kusch,1975-07-08,"Clarissa-Mielcarek-Weg 8/2
74939 Neustadtner Waldnaab",01326241087,DE78396237219541265196,60836841418,Kusch@oos.de
8,1,Jessika,Lorch,1989-12-20,"Julius-Wulf-Platz 0
32276 Schlüchtern",07356 822895,DE22492234346828251422,15151312383,Lorch@oos.de
9,1,Reinhard,Holsten,2006-01-21,"Beierstr. 0
92369 Eichstätt",+49(0) 895657090,DE08880721026640079156,66502734376,Holsten@oos.de
10,1,Jörn,Stoll,1966-06-20,"Wiekweg 875
60674 Saarlouis",(07891) 225232,DE53810263492240869823,89327768995,Stoll@oos.de
11,1,Birte,Eckbauer,1986-08-24,"Ditschlerinstr. 4/0
07558 Güstrow",0705034122,DE41227521269861859445,90727226169,Eckbauer@oos.de
12,1,Detlef,Hettner,1964-02-16,"Christine-Hermann-Allee 1
87982 Goslar",07748 787712,DE09949626400084443822,50497689719,Hettner@oos.de
13,1,Winfried,Bruder,2005-07-03,"Schuchhardtring 4
37178 Klötze",0177661142,DE31800560302465845340,41787275065,Bruder@oos.de
14,1,Karsten,Rörricht,1974-06-08,"Alina-Ruppert-Platz 8
64429 Zeulenroda",(05001) 097646,DE66316215923677848463,32833718036,Rörricht@oos.de
15,1,Hans-Otto,Vollbrecht,1990-08-30,"Ferdinand-auch Schlauchin-Gasse 9/3
10572 Brilon",+49 (0) 0289 322520,DE92891306602340703529,13665119502,Vollbrecht@oos.de
16,1,Lambert,Klemt,1981-05-25,"Mentzelgasse 7
60096 Dachau",+49(0)8715745379,DE63971805251302685939,29543752890,Klemt@oos.de
